archetype_id;usage_type_tabula;usage_type_statistik;usage_simplified;building_period;building_status;energy_carrier_primary;Af_m2;Aroof_m2;GFA_m2;Aocc_m2;people0;E_final_heating_MWhyr;E_final_dhw_MWhyr;E_final_cooling_MWhyr;E_final_user_MWhyr;Q_use_heating_MWhyr;Q_use_dhw_MWhyr;Q_use_cooling_MWhyr;Q_use_user_MWhyr
IWU Production, Workshop, Warehouse or Operations (8) 2010 - 2030_dh;Industrie und Lager;Industrie- und Lagergebäude;non-residential;2010 - 2030;original;district_heating;4083.92;899.0;6003.9;4084.0;1088.7;5.727994834061704;30.52763988958245;14.6243182276054;955.163317352798;5.61343493738047;29.9170870917908;36.5607955690135;955.163317352798
IWU Trade Buildings (9) 1860 - 1978_dh;Handel;Groß- und Einzelhandelsgebäude;non-residential;1860 - 1978;original;district_heating;4083.92;899.0;6003.9;4084.0;1088.7;26.473092085321532;31.841443858853367;0.0;1145.7845110731778;25.9436302436151;31.2046149816763;0.0;1145.7845110731778
IWU Trade Buildings (9) 1979 - 2009_dh;Handel;Groß- und Einzelhandelsgebäude;non-residential;1979 - 2009;original;district_heating;4083.92;899.0;6003.9;4084.0;1088.7;7.055324242335194;31.679918302816326;0.0;1145.99667657493;6.91421775748849;31.04631993676;0.0;1145.99667657493
IWU Trade Buildings (9) 2010 - 2030_dh;Handel;Groß- und Einzelhandelsgebäude;non-residential;2010 - 2030;original;district_heating;4083.92;899.0;6003.9;4084.0;1088.7;34.66094979891081;170.0491586162898;78.10543749909719;374.3909711298648;33.9677308029326;166.648175443964;195.263593747743;374.3909711298648
EFH I_Bis 1919_reno_dh;Einfamilienhaus;Wohngebäude mit einer Wohnung;residential;bis 1919;renovation;district_heating;210.08000000000004;103.9;366.5;208.0;2.97;15.368112792050715;6.898999654966745;0.0;9.00244716287099;15.0607505362097;6.76101966186741;0.0;9.00244716287099
EFH II_1920-44_reno_dh;Einfamilienhaus;Wohngebäude mit einer Wohnung;residential;1920-44;renovation;district_heating;210.08000000000004;103.9;366.5;208.0;2.97;6.069274478209326;6.860084388524622;0.3993333693685316;9.004114589722763;5.94788898864514;6.72288270075413;0.998333423421329;9.004114589722763
EFH III_1945-59_reno_dh;Einfamilienhaus;Wohngebäude mit einer Wohnung;residential;1945-59;renovation;district_heating;210.08000000000004;103.9;366.5;208.0;2.97;8.014063535337133;6.874902296702133;0.33950232495861277;9.004030434244475;7.85378226463039;6.73740425076809;0.848755812396532;9.004030434244475
EFH IV_1960-79_reno_dh;Einfamilienhaus;Wohngebäude mit einer Wohnung;residential;1960-79;renovation;district_heating;210.08000000000004;103.9;366.5;208.0;2.97;7.0302501493589595;6.8618422933022964;0.44747797309542003;9.004152290445072;6.88964514637178;6.72460544743625;1.11869493273855;9.004152290445072
EFH V_1980-89_reno_dh;Einfamilienhaus;Wohngebäude mit einer Wohnung;residential;1980-89;renovation;district_heating;210.08000000000004;103.9;366.5;208.0;2.97;7.399106352508776;6.865791726554847;0.41938315389111597;9.00423644592336;7.2511242254586;6.72847589202375;1.04845788472779;9.00423644592336
EFH VI_1990-99_reno_dh;Einfamilienhaus;Wohngebäude mit einer Wohnung;residential;1990-99;renovation;district_heating;210.08000000000004;103.9;366.5;208.0;2.97;9.13252772106244;6.872089640523398;0.44602857972183596;9.004030434244475;8.94987716664119;6.73464784771293;1.11507144930459;9.004030434244475
RH I_Bis 1919_reno_dh;Reihenhaus;Wohngebäude mit zwei Wohnungen;residential;bis 1919;renovation;district_heating;703.1840000000001;248.8;1127.78;697.12;18.05;43.649398962540616;66.33299259632939;5.17313995206612;79.80494753704818;42.7764109832898;65.0063327444028;12.9328498801653;79.80494753704818
RH II_1920-44_reno_dh;Reihenhaus;Wohngebäude mit zwei Wohnungen;residential;1920-44;renovation;district_heating;703.1840000000001;248.8;1127.78;697.12;18.05;53.28004981989275;66.35020129392133;4.76734885287528;79.80516556986512;52.2144488234949;65.0231972680429;11.9183721321882;79.80516556986512
RH III_1945-59_reno_dh;Reihenhaus;Wohngebäude mit zwei Wohnungen;residential;1945-59;renovation;district_heating;703.1840000000001;248.8;1127.78;697.12;18.05;40.76899831771;66.32591343109388;5.3932331379622;79.80504618261713;39.9536183513558;64.999395162472;13.4830828449055;79.80504618261713
RH IV_1960-79_reno_dh;Reihenhaus;Wohngebäude mit zwei Wohnungen;residential;1960-79;renovation;district_heating;703.1840000000001;248.8;1127.78;697.12;18.05;40.986612572770404;66.32881094795653;5.19937579499824;79.8047537237642;40.166880321315;65.0022347289974;12.9984394874956;79.8047537237642
RH V_1980-89_reno_dh;Reihenhaus;Wohngebäude mit zwei Wohnungen;residential;1980-89;renovation;district_heating;703.1840000000001;248.8;1127.78;697.12;18.05;46.37646889456643;66.33503849632287;5.32194334135096;79.8061719784653;45.4489395166751;65.0083377263964;13.3048583533774;79.8061719784653
RH VI_1990-99_reno_dh;Reihenhaus;Wohngebäude mit zwei Wohnungen;residential;1990-99;renovation;district_heating;703.1840000000001;248.8;1127.78;697.12;18.05;40.986612572770404;66.32881094795653;5.19937579499824;79.8047537237642;40.166880321315;65.0022347289974;12.9984394874956;79.8047537237642
MWB I_Bis 1919_reno_dh;Mehrfamilienhaus;Wohngebäude mit drei und mehr Wohnungen;residential;bis 1919;renovation;district_heating;703.1840000000001;248.8;1127.78;697.12;18.05;50.517985289930614;66.34417486765683;4.964089732471161;79.80446408733093;49.507625584132;65.0172913703037;12.4102243311779;79.80446408733093
MWB II_1920-44_reno_dh;Mehrfamilienhaus;Wohngebäude mit drei und mehr Wohnungen;residential;1920-44;renovation;district_heating;703.1840000000001;248.8;1127.78;697.12;18.05;46.19128301730082;66.33832465451877;5.01919886148808;79.80398642740647;45.2674573569548;65.0115581614284;12.5479971537202;79.80398642740647
MWB III_1945-59_reno_dh;Mehrfamilienhaus;Wohngebäude mit drei und mehr Wohnungen;residential;1945-59;renovation;district_heating;703.1840000000001;248.8;1127.78;697.12;18.05;71.97788198915245;66.38451698019603;3.635523869261152;79.80362596307164;70.5383243493694;65.0568266405921;9.08880967315288;79.80362596307164
